codigo,descripcion,marca,contenido,unidades_por_caja,precio_caja,stock,aromas
1000,TRAPERO HUMEDO 10 UNIDADES,           TOLL ,,24,23760,204.0,"LAVANDA , FLORAL"
1001,TRAPERO HUMEDO 12 UNIDADES,         WINNEX  ,,12,17880,312.0,"LAVANDA, FLORAL ,MANZANA,LIMON,MARINE"
1002,TRAPERO HUMEDO CLASICO 10 UNIDADES ,            EXCELL ,,10,1430,1000.0,
1003,TRAPERO HUMEDO PISO FLOTANTE 10 UNIDADES ,            EXCELL ,,10,1430,1000.0,
1004,TRAPERO HUMEDO  HABRILLANTADOR MAS LIMPIADOR  10 UNIDADES,          EXCELL ,,10,1950,1000.0,
1005,TRAPERO HUMEDO ABRILLANTADOR  10 UNIDADES,         EXCELL ,,10,3180,1000.0,
1006,TRAPERO HUMEDO 12MAS1 UNIDADES,   ULTRA CLEAN ,13 UNIDADES,12,18000,45.0,
1007,PASTAL DENTAL TRIPLE ACCION ,COLGATE ,   75ML ,1,990,1000.0,
1008,PASTA DENTAL TRIPLE ACCION ,PEPSODENT ,,1,720,1000.0,
1009,PASTAS DENTAL  INTEGRAL 18 ,PEPSODENT ,,1,950,1000.0,
1010,PASTA DENTAL PACK 3,PEPSIODENT,90 GRS ,1,2290,1000.0,
1011,PASTA DENTAL  REGULAR PACK 3 ,FRESH  UP ,90 GRS ,1,1970,1000.0,
1012,PASTA DETAL WHITENING PACK 3,FRESH UP ,90 GRS ,1,1770,1000.0,
1013,CEPILLO DE DIENTES MEDIUM ,AQUAFRESH ,,1,1290,1000.0,
1014,CEPILLO DE DIENTES ADULTO SUAVE ,FRESH UP ,,1,640,1000.0,
1015,CEPILLO DE DIENTES ADULTO MEDIO ,FRESH UP ,,1,640,1000.0,
1016,CEPILLO DE DIENTE NIÑO ,FRESH UP ,,1,640,1000.0,
1017,CEPILLO DE DIENTE NIÑO  PACK X2,FAMILY SET ,,1,860,1000.0,
1018,TOALLA HUMEDA 80 UNDS PACK 2,OVELLA ,,12,27480,17.0,
1019,TOALLA HUMEDA 80 UNIDADES ,OVELLA ,,24,28560,3.0,
1020,TOALLA HUMEDAD 45 UNIDADES ,BABYSEC ,,1,690,1000.0,
1021,TOALLA HUMEDA 80 UNIDADES ,SOFT WIPES ,,12,10680,238.0,
1022,TOALLA HUMEDA  72 UNIDADES,SOFT CLOUD,,1,700,1000.0,
1023,TOALLA HUMEDA ADULTO ,ACTIVITY ,,1,1300,1000.0,
1024,TOALLA PAPEL LIKE ULTRA,TERSUS,70MTRS,6,10500,16.0,
1025,DETERGENTE EN POLVO ,WINNEX,800GRAMOS,12,nan,312.0,
1026,,,,,nan,,
1027,REMOVEDOR DE MANCHAS POLVO,WINNEX,500 GRAMOS,12,37800,28.0,
1028,RENOVADOR DE NEUMATICO ,TEDDY,500 ML,12,18600,1.0,
1029,PACK PROMOCIONAL [RENOVADOR+CERA],TEDDY,500 ML,6,16560,2.0,
1030,JAVON LIQUIDO,VIDABELL,750 ML,12,14400,7.0,
1031,DETERGENTE POLVO OMO CON VICARBONATO ,OMO,800 ML,18,30420,9.0,
1032,OMO PARA DILUIR PIEL SENSIBLE ,OMO,5OO ML,12,44280,27.0,
1033,AROMATIZANTE DE TELAS VAIS ,ALGABO,500 ML,8,25920,7.0,
1034,REPUESTO AROMATIZANTE ULTRA CLEAN ,ULTRA CLEAN ,40 ML,24,38140,7.0,
1035,GEL AROMATIZANTE ULTRA CLEAN,ULTRA CLEAN ,212 GRAMOS,24,28320,19.0,
1036,QUITAMANCHAS 2EN 1,EXCELL,960 ML,12,20760,41.0,
1037,DESODORANTE DE INODORO ,ULTRA CLEAN ,40 GRAMOS,24,12240,5.0,
1038,CEPILLO AQUAFRESH PACK X2,AQUAFRESH,,12,15480,5.0,
1040,DETERGENTE LIQUIDO FUZOL,FUZOL,3 LITROS,4,21960,2.0,
1041,APOSITO COTIDIAN ,COTIDIAN,,12,44400,1.0,
1042,LIMPIADOE PORCELANATO Y VINILICOS,EXCELL,900 ML,12,18360,4.0,
1043,CERA AUTOBRILLO [ceramicos y baldosas ],EXCELL,900 ml,12,27120,6.0,
1044,LIMPIADOR DE PISO FLOTANTE ,EXCELL,900 ML,12,27360,4.0,
1045,CERA PINTURA ROJA,EXCELL,900 CC,12,23040,6.0,
1046,LUSTRA MUEBLES LIQUIDO GATILLO,EXCELL,500 ML,12,18600,4.0,
1047,ANTIGRASA GATILLO,EXCELL,500 ML,12,17520,10.0,
1048,LIMPIADOR DE BAÑO GATILLO,EXCELL,500 ML,12,20640,2.0,
1049,FILMS PLASTICO TRANSPARENTE,HOME KING,70 METROS,48,57120,1.0,
1050,SHAMPOO ALFOMBRA Y TAPICES,EXCELL,900 CC,12,23880,6.0,
1051,LUSTRA MUEBLES ,EXCELL,500 CC,15,29850,6.0,
1052,TELA  ANTIBACTERIAL ,ULTRA CLEAN ,30 UNIDADES,24,30960,7.0,
1053,ABRILLANTADOR PISO FLOTANTE,EXCELL,900 CC,12,34800,2.0,
1054,ESPUMA DE AFEITAR,ALGABO,400 GRAMOS,12,25080,7.0,
1055,ANTIGRASA GATILLO WINNEX,WINNEX,500 ML,12,14760,3.0,
1056,TALCO OPARA PIES ,ALGABO,100 GRAMOS,12,10680,5.0,
1057,QUITAESMALTE FORTALECEDOR,ALGABO,100 ML,24,20880,3.0,
1058,RENOVADOR ESPUMA AUTOLIMPIANTE,KIT,360 ML,12,23880,3.0,
