codigo;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
1000;TRAPERO HUMEDO 10 UNIDADES;           TOLL ;;24;$23.760;204;LAVANDA , FLORAL
1001;TRAPERO HUMEDO 12 UNIDADES;         WINNEX  ;;12;$17.880;312;LAVANDA, FLORAL ,MANZANA,LIMON,MARINE
1002;TRAPERO HUMEDO CLASICO 10 UNIDADES ;            EXCELL ;;10;$1.430;1000;
1003;TRAPERO HUMEDO PISO FLOTANTE 10 UNIDADES ;            EXCELL ;;10;$1.430;1000;
1004;TRAPERO HUMEDO  HABRILLANTADOR MAS LIMPIADOR  10 UNIDADES;          EXCELL ;;10;$1.950;1000;
1005;TRAPERO HUMEDO ABRILLANTADOR  10 UNIDADES;         EXCELL ;;10;$3.180;1000;
1006;TRAPERO HUMEDO 12MAS1 UNIDADES;   ULTRA CLEAN ;13 UNIDADES;12;$18.000;45;
1007;PASTAL DENTAL TRIPLE ACCION ;COLGATE ;   75ML ;1;$990;1000;
1008;PASTA DENTAL TRIPLE ACCION ;PEPSODENT ;;1;$720;1000;
1009;PASTAS DENTAL  INTEGRAL 18 ;PEPSODENT ;;1;$950;1000;
1010;PASTA DENTAL PACK 3;PEPSIODENT;90 GRS ;1;$2.290;1000;
1011;PASTA DENTAL  REGULAR PACK 3 ;FRESH  UP ;90 GRS ;1;$1.970;1000;
1012;PASTA DETAL WHITENING PACK 3;FRESH UP ;90 GRS ;1;$1.770;1000;
1013;CEPILLO DE DIENTES MEDIUM ;AQUAFRESH ;;1;$1.290;1000;
1014;CEPILLO DE DIENTES ADULTO SUAVE ;FRESH UP ;;1;$640;1000;
1015;CEPILLO DE DIENTES ADULTO MEDIO ;FRESH UP ;;1;$640;1000;
1016;CEPILLO DE DIENTE NIÑO ;FRESH UP ;;1;$640;1000;
1017;CEPILLO DE DIENTE NIÑO  PACK X2;FAMILY SET ;;1;$860;1000;
1018;TOALLA HUMEDA 80 UNDS PACK 2;OVELLA ;;12;$27.480;17;
1019;TOALLA HUMEDA 80 UNIDADES ;OVELLA ;;24;$28.560;3;
1020;TOALLA HUMEDAD 45 UNIDADES ;BABYSEC ;;1;$690;1000;
1021;TOALLA HUMEDA 80 UNIDADES ;SOFT WIPES ;;12;$10.680;238;
1022;TOALLA HUMEDA  72 UNIDADES;SOFT CLOUD;;1;$700;1000;
1023;TOALLA HUMEDA ADULTO ;ACTIVITY ;;1;$1.300;1000;
1024;TOALLA PAPEL LIKE ULTRA;TERSUS;70MTRS;6;$10.500;16;
1025;DETERGENTE EN POLVO ;WINNEX;800GRAMOS;12;;312;
1026;;;;;;;
1027;REMOVEDOR DE MANCHAS POLVO;WINNEX;500 GRAMOS;12;$37.800;28;
1028;RENOVADOR DE NEUMATICO ;TEDDY;500 ML;12;$18.600;1;
1029;PACK PROMOCIONAL [RENOVADOR+CERA];TEDDY;500 ML;6;$16.560;2;
1030;JAVON LIQUIDO;VIDABELL;750 ML;12;$14.400;7;
1031;DETERGENTE POLVO OMO CON VICARBONATO ;OMO;800 ML;18;$30.420;9;
1032;OMO PARA DILUIR PIEL SENSIBLE ;OMO;5OO ML;12;$44.280;27;
1033;AROMATIZANTE DE TELAS VAIS ;ALGABO;500 ML;8;$25.920;7;
1034;REPUESTO AROMATIZANTE ULTRA CLEAN ;ULTRA CLEAN ;40 ML;24;$38.140;7;
1035;GEL AROMATIZANTE ULTRA CLEAN;ULTRA CLEAN ;212 GRAMOS;24;$28.320;19;
1036;QUITAMANCHAS 2EN 1;EXCELL;960 ML;12;$20.760;41;
1037;DESODORANTE DE INODORO ;ULTRA CLEAN ;40 GRAMOS;24;$12.240;5;
1038;CEPILLO AQUAFRESH PACK X2;AQUAFRESH;;12;$15.480;5;
1040;DETERGENTE LIQUIDO FUZOL;FUZOL;3 LITROS;4;$21.960;2;
1041;APOSITO COTIDIAN ;COTIDIAN;;12;$44.400;1;
1042;LIMPIADOE PORCELANATO Y VINILICOS;EXCELL;900 ML;12;$18.360;4;
1043;CERA AUTOBRILLO [ceramicos y baldosas ];EXCELL;900 ml;12;$27.120;6;
1044;LIMPIADOR DE PISO FLOTANTE ;EXCELL;900 ML;12;$27.360;4;
1045;CERA PINTURA ROJA;EXCELL;900 CC;12;$23.040;6;
1046;LUSTRA MUEBLES LIQUIDO GATILLO;EXCELL;500 ML;12;$18.600;4;
1047;ANTIGRASA GATILLO;EXCELL;500 ML;12;$17.520;10;
1048;LIMPIADOR DE BAÑO GATILLO;EXCELL;500 ML;12;$20.640;2;
1049;FILMS PLASTICO TRANSPARENTE;HOME KING;70 METROS;48;$57.120;1;
1050;SHAMPOO ALFOMBRA Y TAPICES;EXCELL;900 CC;12;$23.880;6;
1051;LUSTRA MUEBLES ;EXCELL;500 CC;15;$29.850;6;
1052;TELA  ANTIBACTERIAL ;ULTRA CLEAN ;30 UNIDADES;24;$30.960;7;
1053;ABRILLANTADOR PISO FLOTANTE;EXCELL;900 CC;12;$34.800;2;
1054;ESPUMA DE AFEITAR;ALGABO;400 GRAMOS;12;$25.080;7;
1055;ANTIGRASA GATILLO WINNEX;WINNEX;500 ML;12;$14.760;3;
1056;TALCO OPARA PIES ;ALGABO;100 GRAMOS;12;$10.680;5;
1057;QUITAESMALTE FORTALECEDOR;ALGABO;100 ML;24;$20.880;3;
1058;RENOVADOR ESPUMA AUTOLIMPIANTE;KIT;360 ML;12;$23.880;3;
1059;DESODORANTE PARA INODORO;WINNEX;40 GRAMOS;24;$19.920;26;
1060;PASTILLAS PARA ESTANQUE;LYSOFORM;80 GRAMOS;12;$31.080;10;
1061;TALCO PARA PIES BOLSA ;ALGABO;200 GRAMOS;24;$8.090;3;
1062;PASTA DENTAL PEPSODENT PACK 3X2;PEPSODENT;90 GRAMOS;18;$41.220;4;
1063;LIMPIADOR EN CREMA WINNEX;WINNEX;750 GRAMOS;12;$22.000;6;
1064;LIMPIADOR EN CREMA TEDDY;TEDDY;500 ML;12;$13.920;1;
1065;LIMPIADOR EN CREMA EXCELL;EXCELL;250 ML;15;$17.100;7;
1066;BOLSA DE BAUSRA 100 X 120;WINNEX;10 UNIDADES;20;$46.600;6;
1067;BOLSA DE BASURA 90 X120;WINNEX;10 UNIDADES;20;$34.800;4;
1068;BOLSA DE BASURA 90 X 120 ;EXCELL;10 UNIDADES;24;$45.360;4;
1069;BOLSA DE BASURA 80 X 110;EXCELL;10 UNIDADES;24;$28.560;54;
1070;BOLSA DE BASURA 70X 90;EXCELL;10 UNIDADES;48;$32.640;60;
1071;BOLSA DE BASURA 55X50 BLANCA;ULTRA CLEAN ;20 UNIDADES;100;$100.000;4;
1072;PASTA DENTAL PEPSODENT TRIPLE+;PEPSODENT;90 GRAMOS;12;$8.640;90;
1073;PASTA DENTAL PEPSODENT INTEGRAL 18;PEPSODENT;90 GRAMOS;12;$11.400;4;
1074;SHAMPOO;ALGABO;930 ML;12;$15.160;2;
1075;BRIKS LAVALOZAS CONSENTRADO;BRIKS;2 LITROS;8;$10.320;3;
1076;LAVALOZAS DESENGRASANTE BOLSA;EXCELL;1 LITRO;12;$7.840;61;
1077;LAVALOZA DESENGRASANTE EXCELL;EXCELL;750 CC;12;$15.720;3;
1078;QUITA GRASA PROFECIONAL GATILLO;EXCELL;500 ML;12;$21.000;3;
1079;CLORO EN TABLETAS  TEDDY;TEDDY;1 KG;20;$4.250;20;
1080;PASTILLA DE CLORO GRANDE ;TEDDY;1 KG;6;$3.680;18;
1081;LIMPIAPISO AYE ;AYE;2 LITROS;6;$5.940;25;
1082;DESENGRASANTE AYE;AYE;1 LITRO;12;$10.680;2;
1083;LIMPIAPISO AYE ;AYE;900 ML;12;$6.240;19;
1084;DESENGRASANTE AYE GATILLO;AYE;1 LITRO;12;$17.880;5;
1085;REMOVEDOR DE SARRO AYE;AYE; 1 LITRO;12;$10.680;6;
1086;CERA PINTURA ROJA AYE;AYE;1 LITRO;12;$10.680;2;
1087;CERA PINTURA ROJA AYE;AYE;5 LITROS;1;$2.890;7;
1088;DESENGRASANTE AYE;AYE;5 LITROS;1;$2.890;53;
1089;DETERGENTE PERLADO AYE;AYE;5 LITROS;1;$1.590;107;
1090;DETERGENTE BRIKS;BRIKS;5 LITROS;1;$3.290;630;
1091;DETERGENTE ECONOMICO AYE;AYE;5 LITROS;1;$1.490;118;
1092;PAÑO  MICROFIBRA TEDDY;TEDDY;;25;$10.880;1;
1093;VALDE TRAPEADOR ;ULTRA CLEAN;;1;$3.600;15;
1094;BOLSA DE BASURA 80X110;WINNEX;;20;$32.800;4;
1095;DISCOS ACTVOS EXCELL;EXCELL;38 ML;0;$20.280;10;
1096;TRAPERO HUMEDO ABRILLANTADOR PISO FLOTANTE EXCELL;EXCELL;10 UNIDADES;10;$31.080;5;
